Broadband Provider Name,DBA Name,Holding Company,Consumer Support Phone Number,Consumer Website URL,States and Territories,Broadband Service Type,"Offering Connected Devices (Laptop, Desktop, or Tablet)?"
"IM Telecom, LLC",Infinity Mobile,"KonaTel, Inc",214-323-8000,www.infinitimobile.com,"AL, AZ, AR, CA, CO, CT, DE, DC, FL, GA, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY, PR",Mobile Broadband,No
Assurance Wireless,,Deutsche Telekom AG,1-800-937-8997,www.assurancewireless.com,"AL, AZ, AR, CA, CO, CT, DE, DC, FL, GA, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, NV, NH, NJ, NM, NY, NC, OH, OR, PA, RI, SC, TN, TX, UT, VA, WA, WV, WI",Mobile Broadband,Yes
Metro by T-Mobile,,Deutsche Telekom AG,888-863-8768,https://www.t-mobile.com/customers/emergency-broadband-benefit,"AL, AZ, AR, CA, CO, CT, DE, DC, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY, PR, VI",Mobile Broadband,Yes
Cleo Communications,,Kyle Traxler,614-285-4869,www.kyty.xyz,"AL, AK, AZ, AR, CA, CO, CT, DE, DC, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY, GU, PR, VI",Fixed Broadband or Mobile Broadband,Yes
"Consolidated Communications Enterprise Services, Inc.","Consolidated Communications, Inc.","Consolidated Communications Holdings, Inc.",1-844-968-7224,www.consolidated.com,"AL, CA, CO, FL, GA, IL, KS, ME, MA, MN, MO, NH, NY, OH, OK, PA, TX, VT, WA",Fixed Broadband,No
Intellipop,,,801-851-1770,www.intellipop.co,UT,Fixed Broadband,No
"TAG Mobile, LLC",,,866-959-4918,www.tagmobile.com,"AZ, AR, CA, CO, IA, KY, LA, ME, MD, MI, MN, MO, NV, OK, PA, SC, TX, WV, WI",Mobile Broadband,No
"NewPhone Wireless, LLC",,,855-204-3667,www.newphone.com/,"LA, IL, NV",Mobile Broadband,No
"Spectrum (Charter Communications Operating, LLC)",,"Charter Communications, Inc.",866-980-3107,www.spectrum.com,"AL, AZ, CA, CO, CT, FL, GA, HI, ID, IL, IN, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, OH, OR, PA, SC, TN, TX, VT, VA, WA, WV, WI, WY",Fixed Broadband,No
Frontier Communications Corporation,,,877-847-6091,https://www.getfrontierfiber.com/ebb-offer,"AL, AZ, CA, CT, FL, GA, IL, IN, IA, MN, MS, NE, NV, NM, NY, NC, OH, PA, SC, TN, TX, UT, WV, WI",Fixed Broadband,No
TracFone Wireless Inc.,"Straight Talk, NET10, SafeLink, Simple Mobile, Total Wireless",America Movil SAB,1-833-343-8322,www.broadbandbenefit.com,"AK, AL, AZ, AR, CA, CO, CT, DE, DC, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY, PR",Mobile Broadband,Yes
"Airrunner Networks, LLC",,"Airrunner Network, LLC",715-443-3700,www.airrun.net,WI,Fixed Broadband,No
Midcontinent Communications,Midco,,1-800-888-1300,www.midco.com,"KS, MN, ND, SD, WI",Fixed Broadband,No
"Alternative Internet Resources ""AIR""","Alternative Internet Resources ""AIR""",,281-303-2778,www.myairusa.com,TX,Fixed Broadband,No
"Go Technology Management, LLC",,,1-877-223-1978,www.goknows.com/,"AZ, AR, CA, CT, FL, GA, IL, LA, ME, MA, MI, MS, NJ, NY, NC, OH, OR, PA, SC, TN, TX, VA, WA, PR",Mobile Broadband,No
Elkhart Telephone Co.,EPIC TOUCH Co.,EPIC TOUCH Co.,800-554-4250,www.epictouch.com,"KS, OK",Fixed Broadband,No
"MetaLINK Technologies, Inc.",,"Defiance Holdings, LLC",888-999-8002,www.metalink.net,"IN, MI, OH",Fixed Broadband,No
"WideOpenWest Finance, LLC",WOW! Internet Cable and Phone,"WideOpenWest Finance, LLC",888-530-2711,www.wowway.com/ebb,"AL, FL, GA, IL, IN, MD, MI, OH, SC, TN",Fixed Broadband,No
Nextlink Internet,Nextlink Internet,"Como Wireless, LLC",855-698-5465,https://nextlinkinternet.com/,"IL, IA, KS, NE, OK, TX",Fixed Broadband,Yes
"Forethought.net, Brainstorm Internet, San Isabel Telecom","Forethought.net, Brainstorm Internet, San Isabel Telecom",Futurum Communications Corporation,303-815-1000,www.forethought.net,"CO, NM",Fixed Broadband,No
Inland Cellular LLC,Inland Cellular; Emerge Technologies,Inland Cellular Telephone Company,800-248-8822,www.inlandcellular.com,"ID, WA",Fixed Broadband or Mobile Broadband,Yes
"Wm Wireless, Inc.",Speedynet,"Wm Wireless, Inc.",787-877-8042,www.speedynetpr.com,PR,Fixed Broadband,No
Liberty Mobile Puerto Rico Inc.,"(formerly AT&T Mobility Puerto Rico, Inc)",,787-355-3535,www.libertypr.com,PR,Mobile Broadband,No
Citizens Telephone Company,,,800-321-4282,www.ctcis.net,MO,Fixed Broadband,No
"Tilson Technology Management, Inc.",Tilson Broadband,,802-552-0426,www.tilsonbroadband.com,VT,Fixed Broadband,No
Osage Municipal Communications Utilities,,,641-832-3731,https://osage.net,IA,Fixed Broadband,No
"ConnectTo Communications, Inc.",ConnectTo,,800-459-6753,www.connectto.com,CA,Fixed Broadband or Mobile Broadband,Yes
Dish Wireless LLC,Boost Mobile,DISH Wireless Holding LLC,1-866-402-7366,www.boostmobile.com/,"AL, AK, AZ, AR, CA, CO, CT, DE, DC, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY, PR",Mobile Broadband,Yes
WiaTel,Wia Tel,,712-873-5711,www.wiatel.com,IA,Fixed Broadband,Yes
Sparklight,Sparklight,,1-877-687-1332,www.sparklight.com,"AL, AZ, AR, ID, IL, IN, IA, KS, LA, MN, MS, MO, NE, NM, ND, OK, OR, SD, TN, TX, WA",Fixed Broadband,No
GoSemo LLC,,Semo Electric Cooperative,877-430-5418,www.gosemofiber.com,MO,Fixed Broadband,No
PTI Pacifica Inc,IT&E,,MP: 670-682-4483 or GU: 671-922-4483,https://store.ite.net/,"MP, GU",Mobile Broadband,Yes
Otelco,Otelco,Otelco Inc,1-833-683-5261,www.otelco.com,WV,Fixed Broadband,No
"Electric Plant Board Of The City Of Murray, Kentucky",Murray Electric System,,270-753-5312,www.murray-ky.net,KY,Fixed Broadband,No
"Ready Wireless, LLC",,"HH Ventures, LLC",319-294-6080,www.readywireless.com/,"AL, AZ, AR, CA, CO, CT, DE, DC, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, WA, WV, WI, WY, PR",Mobile Broadband,No
AJJ Satellite Services Inc.,,AJJNET,787-934-9941,www.ajjnetpr.com,PR,Fixed Broadband,No
"Grafton Technologies, Inc",GTI,"Grafton Communications, Inc",618-639-4841,www.gtec.com,IL,Fixed Broadband,No
"Arctic Slope Telephone Association Cooperative, Inc.",,,1-800-478-6409 or 907-563-3989,www.astac.net/,AK,Fixed Broadband or Mobile Broadband,Yes
"Roanoke Telephone Company, Inc.",TEC - Roanoke Division,Telephone Electronics Corporation,844-978-2984,www.tec.com,AL,Fixed Broadband,No
Declaration Networks (NeuBeam),"Declaration Networks, DNG, NeuBeam",,1-877-811-1133,www.neubeam.com,"MD, VA, WA",Fixed Broadband,Yes
"Boomerang Wireless, LLC",enTouch Wireless,"HH Ventures, LLC",866-488-8719,www.entouchwireless.com/,"AZ, AR, CA, CO, FL, GA, HI, ID, IN, IA, KS, KY, LA, MD, MI, MN, MS, MO, NE, NV, NY, ND, OH, OK, OR, PA, RI, SC, SD, TX, UT, WA, WV, WI, WY, PR",Mobile Broadband,Yes
"CSC Holdings, LLC","Optimum in CT, NJ, NY, PA; Suddenlink in rest of state","Altice USA, Inc.",203-870-2583 or 973-230-6046 or 631-393-0636 or 718-860-3513 or 877-794-2724,www.optimum.net or www.suddenlink.com,"AZ, AR, CA, CT, ID, KS, KY, LA, MS, MO, NV, NJ, NM, NY, NC, OH, OK, PA, TX, VA, WV",Fixed Broadband,No
Sac County Mutual Telephone Company,,,712-668-2200,www.scmtco.com,IA,Fixed Broadband,No
"Sage Telecom Communications, LLC",TruConnect,TSC Acquisition Corporation,800-430-0443,www.truconnect.com/,"AL, AZ, AR, CO, CT, DE, DC, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, ME, MD, MI, MN, MS, MO, MT, NE, NV, NH, NM, NY, NC, ND, OH, OK, PA, SC, SD, TX, UT, WA, WV, WI, WY, PR",Mobile Broadband,Yes
"TruConnect Communications, Inc.",,TSC Acquisition Corporation,800-430-0443,www.truconnect.com/,"CA, MA, NJ, OR, RI, TN, VT, VA",Mobile Broadband,Yes
Global Connection Inc. of America,StandUp Wireless,Global Connection Holdings Corporation,1-800-544-4441,www.standupwireless.com,"AL, AZ, AR, CA, CO, CT, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WV, WI, WY, PR",Mobile Broadband,Yes
Q Link Wireless LLC,,Quadrant Holdings Group LLC,1-855-754-6543,http://qlinkwireless.com/,"AL, AZ, AR, CO, CT, DE, DC, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, OH, OK, OR, PA, RI, SC, TN, TX, UT, VT, VA, WA, WV, WI, PR, VI",Mobile Broadband,Yes
Webb-Dickens Telephone Corporation,Premier Communications,"Mutual Telephone Company of Sioux Center, Iowa",800-741-8351,www.mypremieronline.com,IA,Fixed Broadband,No
"Native Network, Inc.",,,844-816-8904,www.nativenetwork.com,"OR, WA",Fixed Broadband,Yes
Cal.net,,,530-672-1078,www.cal.net,CA,Fixed Broadband,Yes
"Fort Mojave Telecommunications, Inc.",,,928-346-2500,www.ftmojave.com,AZ,Fixed Broadband,No
Siyeh Communications,SiyCom,Siyeh Corporation,406-338-3222,www.siycom.com,MT,Fixed Broadband,No
North Alabama Electric Coop,,,256-437-5000,www.naecoop.com,AL,Fixed Broadband,No
Calaveras Telephone Company,,,209-785-2211 or 800-253-2511,www.caltelconnect.com or caltel.com,CA,Fixed Broadband,No
"AST Telecom, LLC",Bluesky Communications,,684-699-2759,www.bluesky.as,AS,Fixed Broadband or Mobile Broadband,No
"Guadalupe Valley Communications Systems, L.P.",GVCS,,1-800-FOR-GVTC,www.gvtc.com,TX,Fixed Broadband,No
"Selectel, Inc.",Selectel Wireless,,1-877-218-5744,www.selectelwireless.com,"AL, AZ, AR, CA, CO, CT, DE, DC, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY",Mobile Broadband,Yes
LocalTel Communications,"Locatel Communications, SkyFi Wireless Highspeed Internet",,509-888-8888,http://localtel.com/,WA,Fixed Broadband,Yes
Viya,Viya,"ATN International, Inc.",340-774-2729,https://viya.vi/,VI,Fixed Broadband or Mobile Broadband,Yes
Viya Wireless,Viya,"ATN International, Inc.",340-774-2729,https://viya.vi/,VI,Fixed Broadband or Mobile Broadband,Yes
Monon Telephone Company Inc.,,,219-253-6601,www.monontelephone.com,IN,Fixed Broadband,No
Garden Valley Telephone Company,Garden Valley Technologies,,800-448-8260,www.gvtel.com,MN,Fixed Broadband,No
Leaco Rural Telephone Company,,,575-370-5010,www.leaco.net,NM,Fixed Broadband,No
Dobson Telephone Company,,"Dobson Technologies, Inc.",855-536-2766,www.dobsontelco.com,OK,Fixed Broadband,No
"Pinnacle Communications, Dobson Fiber",Pinnacle Communications,"Dobson Technologies, Inc.",855-536-2766,www.dobsontelco.com,"AR, OK",Fixed Broadband,No
Amplex Internet,Amplex Internet,,419-837-5015 or 888-419-3635,www.amplex.net,OH,Fixed Broadband,No
Comcell Community Telephone,,,940-423-6201,www.comcell.net,TX,Fixed Broadband,No
Farmers Mutual Communications,,,712-744-3131,www.fmctc.com/,IA,Fixed Broadband,No
Star Communications,Star Communications,,800-706-7563,www.starcom.net,NC,Fixed Broadband,No
Aloha Broadband Inc.,,,808-929-7668,www.alohabroadband.com,HI,Fixed Broadband,No
Paul Bunyan Rural Telephone Cooperative,Paul Bunyan Communications,,888-586-3100,www.paulbunyan.net,MN,Fixed Broadband,No
Guadalupe Valley Telephone Cooperative Inc.,GVTC,,1-800-FOR-GVTC,www.gvtc.com,TX,Fixed Broadband,No
Westfield Gas + Electric,Whip City Fiber,,413-485-1251,www.WhipCityfiber.com,MA,Fixed Broadband,No
"Blue Ridge Internet Service Company, LLC",BriscNet,,1-800-222-5377,www.BriscNet.com,VA,Fixed Broadband,No
"Access Cable Television, Inc.",,,606-677-2444,www.accesshsd.com,"KY, TN",Fixed Broadband,No
Byte Networking LLC,Fibra Alaska,Byte Networking LLC,907-697-2704,www.Fibrealaska.com,AK,Fixed Broadband,No
Casey Mutual Telephone Co.,,,641-746-2222,www.caseytelco.com,IA,Fixed Broadband,No
Cruzio,,,831-459-6301,www.cruzio.com,CA,Fixed Broadband,No
"Darien Telephone Company, Inc",,,912-437-4111,www.darientel.net,GA,Fixed Broadband,No
"HRCOM, INC.",HRCOM,"HRCOM, INC",787-699-8067,www.hrcompr.com,PR,Fixed Broadband,No
"Mid-States Services, LLC",,,1-800-864-4013,www.mid-states.net,MO,Fixed Broadband,No
Pattersonville Telephone Company,,,518-887-2121,https://ptcconnect.net/,NY,Fixed Broadband,No
Pennsylvania Telephone Company,,,570-745-7101,www.www.ovalinternet.net,PA,Fixed Broadband,No
Accipiter Communications Inc.,Zona Wyyerd,Wyyerd Group LLC,623-455-4555,https://zonawyyerd.com,AZ,Fixed Broadband,No
BellSouth Telecommunications Inc,AT&T Southeast,AT&T Inc.,866-986-0963,www.att.com,"AL, FL, GA, KY, LA, MS, NC, SC, TN",Fixed Broadband or Mobile Broadband,No
Cricket Wireless LLC,,AT&T Inc.,844-246-8364,www.att.com/,"AK, AZ, CO, CT, DE, DC, HI, IA, ME, MD, MA, MN, MO, MT, NE, NH, NJ, NM, NY, OK, PA, RI, UT, VT, VA, WY",Mobile Broadband,No
Illinois Bell Telephone Company,AT&T Illinois,AT&T Inc.,866-986-0963,www.att.com,IL,Fixed Broadband or Mobile Broadband,No
Indiana Bell Telephone Company,AT&T Indiana,AT&T Inc.,866-986-0963,www.att.com,IN,Fixed Broadband or Mobile Broadband,No
Michigan Bell Telephone Company,AT&T Michigan,AT&T Inc.,866-986-0963,www.att.com,MI,Fixed Broadband or Mobile Broadband,No
New Cingular Wireless LLC,AT&T Mobility LLC,AT&T Inc.,866-986-0963,www.att.com,"AK, AZ, CO, CT, DE, DC, HI, IA, ME, MD, MA, MN, MO, MT, NE, NH, NJ, NM, NY, OK, PA, RI, UT, VT, VA, WY",Mobile Broadband,No
AT&T Mobility LLC,AT&T Mobility,AT&T Inc.,866-986-0963,www.att.com,"AL, ID, KY, LA, MI, MS, SD, TX, WA, WV",Mobile Broadband,No
Mon-Cre Telephone Cooperative Inc,Mon-Cre Telephone Cooperative Inv,,334-562-3242,www.mon-cre.net,AL,Fixed Broadband,No
Nevada Bell Telephone Company,AT&T Nevada,AT&T Inc.,866-986-0963,www.att.com,NV,Fixed Broadband or Mobile Broadband,No
"New Cingular Wireless PSC, LLC",AT&T Mobility,AT&T Inc.,866-986-0963,www.att.com,"AR, ND, OR",Mobile Broadband,No
Ohio Bell Telephone Company,AT&T Ohio,AT&T Inc.,866-986-0963,www.att.com,OH,Fixed Broadband or Mobile Broadband,No
Pacific Bell Telephone Company,AT&T California,AT&T Inc.,866-986-0963,www.att.com,CA,Fixed Broadband or Mobile Broadband,No
Southwestern Bell Telephone Company,"AT&T Arkansas, AT&T Kansas, AT&T Texas",AT&T Inc.,866-986-0963,www.att.com,"AR, KS, TX, MO, OK",Fixed Broadband or Mobile Broadband,No
Wabash Mutual Telephone,Wabash,,419-942-1111,www.wabash.com,"IN, OH",Fixed Broadband,No
Wisconsin Bell Telephone Company,AT&T Wisconsin,AT&T Inc.,866-986-0963,www.att.com,WI,Fixed Broadband or Mobile Broadband,No
Farmers Mutual Telephone Company,,,320-568-2105,https://farmerstel.net,MN,Fixed Broadband,No
"Adams CATV, Inc",Adams Cable Service,,570-282-6121,www.adamscable.com,"NY, PA",Fixed Broadband,No
"Aeneas Communications, LLC",,,731-554-9200,www.Aeneas.com,TN,Fixed Broadband,No
Aeronet Wireless Broadband LLC,Aeronet Wireless Broadband LLC,,787-273-4143,www.aeronetpr.com,PR,Fixed Broadband,No
"Air Advantage, LLC",,,989-652-9500,https://airadvantage.net/ebb,MI,Fixed Broadband,Yes
"AirVoice Wireless, LLC",,,877-247-7799,www.airvoicewireless.com/,"CA, KY, MI, MS, NY, OH, OK, PA, SC, WI",Mobile Broadband,Yes
"All West Communications, Inc.",,,435-783-4361,www.allwest.com,"UT, WY",Fixed Broadband,No
Arrowhead Communications Corporation,Arvig,"Arvig Enterprises, Inc.",888-892-7844,www.Arvig.com,MN,Fixed Broadband,No
"Atlink Services, LLC",,,405-753-7151,www.atlinkservices.com,OK,Fixed Broadband,No
"Ayera Technologies, Inc",,,209-579-3000,www.ayera.com,CA,Fixed Broadband,No
Ayersville Telephone Company,,,419-395-2222,www.ayersvillecomm.com,OH,Fixed Broadband,No
"Baldwin Telecom, Inc.",Baldwin LightStream,,877-684-3346,www.baldwinlightstream.com,WI,Fixed Broadband,No
"Barry Technology Services, LLC",goBec Fiber Network,Barry Electric Cooperative,417-847-2131,www.gobec.net,MO,Fixed Broadband,No
"Blackfoot Telephone Cooperative, Inc.",Blackfoot Communications,,866-541-5000,www.blackfootcommunications.com,MT,Fixed Broadband,No
"Blue Ridge Cable Technologies, Inc.",Blue Ridge Communications,"Pencor Services, Inc.",1-800-222-5377,www.brctv.com,PA,Fixed Broadband,No
"Bristol Bay Telephone Coop, Inc.",,Bristol Bay Telephone,"907-246-3404 or1-800-478-9100 in state, or 1-800-478-6399",www.bristolbay.com,AK,Fixed Broadband,No
Broadband Corp.,,,952-215-3800,https://broadband-mn.com/,MN,Fixed Broadband,No
"CableSouth Media III, LLC",Swyft Connect,"Hunt Land Holding, LLC",1-866-257-2044,www.swyftconnect.com,"AR, LA, MS",Fixed Broadband,No
Callaway Telephone Co.,Arvig,"Arvig Enterprises, Inc.",888-892-7844,www.Arvig.com,MN,Fixed Broadband,No
Cambridge Telephone Company,,"Pinpoint Holdings, Inc.",1-800-793-2788,www.pnpt.com,NE,Fixed Broadband,No
Campus Communications Group Inc,CCG Fiber,Pavlov Media Inc,888-799-7249,www.ccgfiber.com,IL,Fixed Broadband,No
Cam-Tel Company,,,1-800-903-0508,www.camdencabletv.com,AR,Fixed Broadband,No
Canadian Valley Telephone Co.,,,918-334-3700,www.cvok.net,OK,Fixed Broadband,Yes
"Cap Rock Telephone Cooperative, Inc.",,,806-271-3336,www.Caprock-spur.com,TX,Fixed Broadband,No
"Cass Cable TV, Inc.",CASSCOMM,Cass Communications Management,800-252-1799,www.casscomm.com,IL,Fixed Broadband,No
Cassadaga Telephone Corporation,,,716-673-3000,www.dftcommunications.com,NY,Fixed Broadband,No
Centracom Interactive,"Central Telcom Services, Central Utah Telephone, Skyline Telecom, Bear Lake Communications",LICT,800-427-8449,www.centracom.com/home,"NV, UT",Fixed Broadband,No
"Champlain Broadband, LLC",Burlington Telecom,,802-540-0007,http://www.burlingtontelecom.com/,VT,Fixed Broadband,No
Cherokee Telephone Company,Cherokee Communications,,580-434-5375,www.cherokeecomm.com,OK,Fixed Broadband,No
"Chesnee Telephone Company, Inc",Chesnee Communications,SkyLine Membership Corporation,864-461-2211,www.chesnet.net,SC,Fixed Broadband,No
Cheyenne River Sioux Tribe Telephone Authority,C.R.S.T. Telephone Authority,,650-964-2600,www.crstta.com/,SD,Fixed Broadband,No
Chickasaw Telephone Company,,Chickasaw Holding Company,800-344-3401,www.CTSIOK.COM,OK,Fixed Broadband,No
"Citizens Telecommunications company of Idaho, LLC",Ziply Fiber,,866-699-4759,www.ziply.com,ID,Fixed Broadband,No
"Citizens Telecommunications Company of Montana, LLC",Ziply Fiber,,866-699-4759,www.ziply.com,MT,Fixed Broadband,No
"Citizens Telecommunications Company of Oregon, LLC",Ziply Fiber,,866-699-4759,www.ziply.com,OR,Fixed Broadband,No
City of Cairo,CNSNext,,229-307-0332,https://cnsnext.com,GA,Fixed Broadband,No
City of Moultrie,CNSNext,,229-985-5400,https://cnsnext.com,GA,Fixed Broadband,No
City of Russellville Electric Plant Board,,,270-726-2466,www.Epbnet.com,KY,Fixed Broadband,No
City of Thomasville,CNSNext,,229-227-7001,https://cnsnext.com,GA,Fixed Broadband,No
City of Wyandotte Department of Municipal Service,,City of Wyandotte Department of Municipal Service,734-324-7190,www.wyan.org,MI,Fixed Broadband,No
"Clarity Telecom, LLC",Vast Broadband,,1-888-745-2888,www.vastbroadband.com/,"MN, SD",Fixed Broadband,No
Clements Telephone Co,Arvig,"Arvig Enterprises, Inc.",888-892-7844,www.Arvig.com,MN,Fixed Broadband,No
"Comcast Cable Communications, LLC",,,1-855-8-INTERNET for Internet Essentials or 1-800-XFINITY,http://www.internetessentials.com/EBB and http://www.xfinity.com/EBB,"AL, AZ, AR, CA, CO, CT, DE, DC, FL, GA, ID, IL, IN, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, NH, NJ, NM, NY, NC, OH, OR, PA, SC, TN, TX, UT, VT, VA, WA, WV, WI",Fixed Broadband,No
Community Cable Television Agency Of Obrien County,The Community Agency,,712-930-5593,www.tcaexpress.net,IA,Fixed Broadband,No
Consolidated Telephone Company,Consolidated Telecommunications Company,,218-454-1234,www.goctc.com,MN,Fixed Broadband,No
"Continental Divide Electric Cooperative, Inc.",Red Bolt Broadband,,505-285-6656,https://redboltbroadband.com,NM,Fixed Broadband,No
"Copper Valley Telephone Cooperative, Inc.",Copper Valley Telecom,,907-835-2231,www.cvtc.org,AK,Fixed Broadband,No
"Critical Hub Networks, Inc",Optico Fiber,,787-957-6000,www.opticofiber.com,PR,Fixed Broadband,No
"Cumberland Cellular, LLC",Duo Broadband,,877-343-3131,https://duobroadband.com/,KY,Fixed Broadband,No
Dakota Central Telecommunications Cooperative,,,701-952-1000,www.dakotacentral.com,ND,Fixed Broadband,No
DC Access LLC,,,202-546-5898,www.dcaccess.net,DC,Fixed Broadband,No
Decatur Telephone Company,,Decatur Holding Company,601-635-2251,www.decaturtelephone.com,MS,Fixed Broadband,No
Delhi Telephone Company,,,607-746-1500,www.delhitel.com,NY,Fixed Broadband,No
"Direct Communications Cedar Valley, LLC.",,,801-789-4999,http://directcom.com/eaglemtn/,UT,Fixed Broadband,No
"Direct Communications Rockland, Inc",,,208-548-2345,http://www.directcom.com/idaho,ID,Fixed Broadband,No
Ducor Telephone Company,Varcomm,"Varcomm Holdings, Inc",888-539-5234,www.varcomm.net,CA,Fixed Broadband,No
Dunkirk and Fredonia Telephone Company,,,716-673-3000,www.dftcommunications.com,NY,Fixed Broadband,No
Duo County Telephone Cooperative Corp.,DUO Broadband,,Adair/Columbia 270-378-4141 Cumberland/Burkesville 270-433-2121 Russell County 270-343-3131 Long-distance toll-free 877-343-3131,https://duobroadband.com,KY,Fixed Broadband,No
Eagle Valley Telephone Co.,Arvig,"Arvig Enterprises, Inc.",888-892-7844,www.Arvig.com,MN,Fixed Broadband,No
East Arkansas Video Inc.,,,1-800-903-0508,www.eastarkansasvideo.com,AR,Fixed Broadband,No
East Ottertail Telephone Co.,Arvig,Arvig Enterprises Inc.,888-892-7844,www.Arvig.com,MN,Fixed Broadband,No
Eastern Shore of Virginia Broadband Authority,,,757-414-0304,http://www.esvba.com/,VA,Fixed Broadband,No
"Eastern Telephone & Technologies, Inc",,,606-432-0043,www.ETTKy.com,KY,Fixed Broadband,Yes
