"brand_name","provider_id","cnt_services"
"Texhoma Wireless LLC","300160 ","54095"
"Fourway","220027 ","53868"
"Antietam Cable","131167 ","53165"
"Hospitality Wireless","340031 ","52933"
"RealLinkNetwork","460070 ","52540"
"AlwaysOn Internet","300187 ","52476"
"United Electric Cooperative Services","430166 ","52429"
"Public Service Wireless","131076 ","52217"
"Golden West Telecommunications","130550 ","52163"
"United Fiber","150327 ","52145"
"Dobson Fiber","130425 ","51794"
"Internet Communications Inc","300070 ","51687"
"Midwest Energy & Communications","300091 ","51594"
"ETC","150258 ","51522"
"CRC Communications LLC","131378 ","51389"
"Fisher Wireless Services, Inc.","190155 ","50840"
"Home Telecom","130617 ","50770"
"Cirra Networks","300029 ","50389"
"CoastConnect","430021 ","50382"
"ezWave","460031 ","50279"
"Mark Twain Rural Telephone Company","130781 ","50185"
"Neubeam","320112 ","50109"
"Nsight Telservices","130937 ","49985"
"NETEO Inc.","330053 ","49888"
"Acentek","130008 ","49526"
"Douglas Services, Inc.","190126 ","49336"
"Wasatch Broadband","310063 ","49275"
"Wave Rural Connect","410008 ","49125"
"ClearSKY Systems  Inc","270025 ","49026"
"Tularosa Communications, Inc.","131383 ","49012"
"5G-X","190003 ","48826"
"M3 Wireless Inc.","470102 ","48265"
"Bascom Communications","130098 ","48152"
"Cass Cable TV INC","130208 ","48059"
"Hudson Valley Wireless","190188 ","47740"
"Tombigbee Fiber, LLC","430086 ","47724"
"AireBeam","420045 ","47658"
"LUS Fiber","190219 ","47591"
"Troy Cablevision, Inc.","131302 ","47492"
"Hunter Communications Inc.","300066 ","47074"
"CBN  Inc","410136 ","47018"
"SPITwSPOTS Inc.","140084 ","46989"
"Evertek, Inc.","131394 ","46885"
"Alternative Internet Resources","430004 ","46377"
"Force Broadband","430034 ","46083"
"FrankfortPlantBoard","130445 ","45888"
"Hoyos Consulting","440039 ","45783"
"Comporium Fort Mill","131125 ","45772"
"BrandName","430074 ","45768"
"Airosurf Communications","300008 ","45460"
"Docomo Pacific","130999 ","45407"
"Premier Communications","130877 ","45364"
"Aeneas Communications, LLC","190015 ","44659"
"ATCJET.NET, LLC","130065 ","44512"
"River Valley Internet","350081 ","44484"
"Windstream Alabama, LLC","131413 ","44353"
"Quantum Internet & Telephone","190305 ","43783"
"HILLTOP BROADBAND","360113 ","43007"
"Sunset Digital Communications, LLC","340070 ","42948"
"Orbitel Communications","131167 ","42752"
"Firefly Fiber Broadband","390018 ","42686"
"Triangle Communications","131367 ","42653"
"Smith Bagley Inc","131208 ","42449"
"Connect2First","450169 ","42363"
"Race Communications","330062 ","41933"
"Softcom Internet Communications, Inc.","310065 ","41886"
"Air Link Rural Broadband, LLC","280004 ","41805"
"Etex Communications","130464 ","41758"
"Eastern Shore of Virginia Broadband Authority","300049 ","41742"
"Crowsnest Broadband LLC","410027 ","41688"
"Wireless ETC","210092 ","41509"
"ZochNet","300164 ","41439"
"WFIBER","430185 ","41398"
"Co-Mo Connect","280017 ","41369"
"West Kentucky Rural Telephone Coop Corp Inc","130068 ","41350"
"Blue Wireless Corp","460013 ","41187"
"GTA","131309 ","41048"
"Ben Lomand Rural Telephone Coop., Inc","130112 ","41038"
"Native Network Inc","370071 ","41021"
"TSC","150266 ","40880"
"903 Broadband, Inc","420000 ","40766"
"VGI Technology  Inc.","310096 ","40756"
"Star Communications","131252 ","40620"
"Armstrong Telecommunications Inc","130071 ","40611"
"FORT COLLINS CONNEXION","410018 ","40369"
"Horizon","130619 ","40298"
"Truestream","390046 ","40108"
"Wi-Fiber Inc","370141 ","40000"
"Stealth Communications","360076 ","39946"
"Colorado Central Telecom","310019 ","39616"
"Velocity","390121 ","39580"
"energynet","190187 ","39522"
"Eastex Telephone Cooperative, Inc.","130440 ","39246"
"Webformix","290118 ","39191"
"Pine Cellular Phones","131039 ","39184"
"Grant County PowerNet Inc","430195 ","38980"
"WON Communications LLC","400056 ","38934"
"Summit Broadband Inc.","130988 ","38818"
"Ziply Pacific","420173 ","38809"
"ECSIS.NET","160116 ","38786"
"Accel Wireless","340045 ","38740"
"Big Bend Telecom, LTD","130123 ","38735"
"WireTower.Net| Planet Connect| SevierNet","350070 ","38656"
"DMCI Broadband  LLC","290039 ","38476"
"MountaiNet Telephone Company","131170 ","38379"
"On-Ramp Indiana Inc.","380095 ","38364"
"Grant PUD","240110 ","38352"
"Hamilton.net, Inc.","130887 ","38341"
"Autophone of Laredo","320013 ","38280"
"PrineTIME Internet Solutions LLC","330059 ","38032"
"SLIC Network Solutions","130690 ","37878"
"Washington Broadband","330082 ","37828"
"Omni Fiber","480067 ","37828"
"Cal-Ore Communications, Inc.","160127 ","37698"
"Michwave Technologies Inc.","390073 ","37646"
"Windstream Kentucky West, LLC","131413 ","37609"
"Adams_CATV_Inc","190013 ","37545"
"PDS","190284 ","37505"
"PathFinders USA Inc.","300137 ","37406"
"Freedom Fiber","390122 ","37377"
"4-County Fiber, LLC","440004 ","37273"
"Right Fiber","130427 ","37132"
"Bluebird Network LLC","300002 ","37078"
"Gateway Fiber","420048 ","37073"
"WNET","430185 ","37052"
"MID-HUDSON CABLEVISION","240058 ","36861"
"North Coast Wireless Communications","410073 ","36343"
"Desert iNet","460511 ","36317"
"Conifer Communications","310027 ","36218"
"NKTelco","130903 ","36181"
"Resort Television Cable Company, Inc.","150334 ","36167"
"Minnesota WiFi","410141 ","36085"
"JCWIFI.com","190103 ","35949"
"Straight Shot Wireless","370013 ","35865"
"NEXT, Powered by NAEC, LLC","380089 ","35845"
"LR Communications","380072 ","35833"
"Kayenta Technologies","400027 ","35606"
"Cable Tv Of East Alabama","190308 ","35385"
"Northern Valley Communications, LLC","130673 ","35351"
"defastlink","440027 ","35318"
"Wyyerd Connect","450174 ","35201"
"Craw Kan Telephone Cooperative Inc","130364 ","35104"
"HiawathaBroadbandCommunicationsInc","130606 ","35069"
"Ranch Wifi LLC","350080 ","34947"
"BLUE STREAM","131060 ","34813"
"East Mississippi Connect, LLC","430030 ","34757"
"MVTV Wireless","190244 ","34686"
"MUFN","300089 ","34580"
"River Canyon Wireless Inc","300132 ","34560"
"""EATEL Corp.""","131103 ","34497"
"Inland Cellular LLC","410192 ","34474"
"Surry Telephone Membership Corp","131283 ","34424"
"Federated Rural Electric Association","470029 ","34212"
"Gibson Connect","390044 ","34114"
"Cable America","130183 ","34104"
"TruVista Communications - GA","130242 ","33905"
"Etex Telephone","130464 ","33839"
"Aire Internet","370142 ","33792"
"TruVista Communications – CLEC","130242 ","33792"
"Limitless Mobile","300085 ","33603"
"Alteva Of Warwick, LLC","130795 ","33395"
"Pavlov Media","210061 ","33362"
"Smithville Communications INC","131108 ","33357"
"Hillbilly Wireless","230062 ","33144"
"Meriwether Lewis Connect, LLC","410067 ","32670"
"Astrea","190070 ","32548"
"Morgan Wireless  LLC","410143 ","32473"
"Xtream Internet","310085 ","32413"
"Central Access","420017 ","32403"
"Texas Windstream, Inc.","131413 ","32302"
"Sandhill Telephone Cooperative, Inc.","131158 ","32222"
"Roanoke Connect","380110 ","32160"
"Diode Cable Company","150250 ","32132"
"Jo-Carroll Energy, Inc. (NFP)","300074 ","32044"
"SRT","131246 ","31764"
"Viya Powernet","130081 ","31754"
"Umpqua Broadband","430089 ","31684"
"Silver Star Communications","131190 ","31444"
"Geneseo Communications Services, Inc.","130535 ","31279"
"CTC","130338 ","31262"
"Totelcom","130315 ","31127"
"RTC Communications Corp.","131124 ","31028"
"Kingsburg Media Foundation","350128 ","31022"
"Lakeland Internet","410155 ","30894"
"EPlus Broadband","170058 ","30831"
"City of Madison","300030 ","30705"
"NCTC","130929 ","30652"
"BartNet IP, LLC","470009 ","30531"
"HRCOM Inc.","430044 ","30529"
"Hill Country Telephone","130612 ","30516"
"Intellipop","420061 ","30448"
"ecoLink","410185 ","30418"
"NextLight","280014 ","30381"
"Mainstream Fiber Networks, LLC","360009 ","30215"
"ISP Management| Inc.","370063 ","30111"
"TS NETWORK","440179 ","30068"
"River City Wireless","470111 ","30034"
"TISD Inc.","320114 ","30025"
"COMMUNITY ANTENNA SERVICE INC.","130322 ","30003"
"GoNetspeed","131378 ","30002"
"Salsgiver Inc","400038 ","29941"
"Windstream Lakedale, Inc.","131413 ","29906"
"empower, delivered by CECC","410153 ","29847"
"Jade Communications","130133 ","29750"
"WiNet","420038 ","29621"
"HOME TELEPHONE","130074 ","29543"
"MidSouth Fiber Internet","440058 ","29439"
"Vast Networks","350032 ","29434"
"Router12 Networks LLC","300131 ","29416"
"Hill Country Networks","420186 ","29210"
"Strata Networks","131387 ","29170"
"MontanaSky Networks| Inc.","270063 ","28975"
"Big Red Communications","400002 ","28753"
"Konceptio Data Services, LLC","230025 ","28704"
"Peoples Telephone Cooperative","131031 ","28666"
"Randolph Telephone Membership Corp","131089 ","28623"
"Scott Rice Tel. Co.","130906 ","28305"
"LR Communications, Inc.","150120 ","28134"
"Mediacom-Bolt","130804 ","28106"
"Solarus","150317 ","28063"
"IT&E","220001 ","28061"
"Leaco Rural Telephone Cooperative, Inc.","130728 ","27983"
"South Central Rural Telecommunications Cooperative","131216 ","27920"
"North Central Telephone Cooperative","130929 ","27848"
"HomeWorks Connect","390123 ","27697"
"ITC","130662 ","27618"
"STRATA Networks","131387 ","27513"
"Northeast Rural Services","330055 ","27373"
"Bristol Tennessee Essential Services","160108 ","27356"
"Ohio Transparent Telecom","130254 ","27293"
"Holston Connect LLC","390050 ","27262"
"Inter-Mountain Cable Inc","130655 ","27256"
"EAST OTTER TAIL","130074 ","27207"
"Netafy","370115 ","27200"
"Illinois Net","320053 ","27186"
"Micrologic","130817 ","27110"
"Valley Communications Association, Inc.","360094 ","27054"
"N.E.T. Broadband","131394 ","27002"
"Santa Rosa Telephone Coop., Inc. CLEC","131162 ","26692"
"Skynet Broadband","230011 ","26677"
"TEC, Bay Springs Division","131311 ","26672"
"Pacific Wyyerd","450174 ","26660"
"Kentec Communications, Inc.","130692 ","26630"
"TCT Wireless Internet","131366 ","26617"
"Pilot Fiber","370087 ","26563"
"PUD No 1 of Chelan County","140020 ","26460"
"Web Fire Communications, Inc.","180064 ","26458"
"TrailWave","310041 ","26425"
"Comporium Lancaster","131125 ","26416"
"New Paris Telephone Company, Inc.","130905 ","26250"
"Highland Telephone Cooperative","131611 ","26192"
"Mediacom_Wisconsin_LLC","130804 ","26184"
"StratusIQ","370037 ","26130"
"SC BROADBAND","131219 ","26120"
"Grand River Mutual Telephone Corporation","130560 ","26096"
"Bevcomm","130142 ","26095"
"The North-Eastern Pennsylvania Telephone Company","131341 ","25987"
"Mojavewifi.com","320062 ","25961"
"Wireless Internet Services","350117 ","25940"
"DuoBroadband","130423 ","25933"
"PVT Wireless","131025 ","25872"
"Double Dog Communications, Inc","410138 ","25813"
"MechcomDotNet","340096 ","25764"
"Valley Telecom Group","131411 ","25672"
"ElektraFi LLC","440029 ","25605"
"Adams Telsystems Inc.","130012 ","25464"
"Allens Communications","130039 ","25440"
"Windstream Communications Kerrville, LLC","131413 ","25437"
"BTC Fiber","130136 ","25354"
"Grizzly Broadband LLC","380051 ","25270"
"SFCN","260069 ","25266"
"Wabash Communications","131445 ","25262"
"Greenlight","210019 ","25109"
"Ezee_Fiber","460032 ","25104"
"Perry-Spencer Rural Telephone Cooperative, Inc.","131032 ","25097"
"Wabash Communications","131444 ","25046"
"Farmers_&_Merchants_Mutual_Tel._Co.","130472 ","24968"
"TMLP Online","460101 ","24839"
"Elevate Internet","370032 ","24713"
"Giant Communications","160127 ","24672"
"Collins Communications, LLC","250028 ","24647"
"Open Fiber USA","450093 ","24522"
"Jackson_County_REMC","380059 ","24482"
"Panhandle Telephone","131007 ","24472"
"North East Fiber LLC","430063 ","24398"
"Wtechlink","400130 ","24076"
"Joink","190211 ","24003"
"BEC Fiber","360006 ","23979"
"Mediacom Bolt","130804 ","23959"
"Swift-Stream Internet","470055 ","23940"
"Southern Ohio Communications Inc","190335 ","23858"
"Lingo Networks","130814 ","23816"
"OSNET Wireless","420091 ","23795"
"Harrisonville Telephone Company","130624 ","23712"
"D & P Communictions","130385 ","23636"
"Broadband VI, LLC","130741 ","23629"
"3 Rivers Communications","130002 ","23628"
"Pathfinder","400035 ","23608"
"LORETEL","130074 ","23458"
"Whip_City_Fiber","190405 ","23384"
"SCI Broadband","190323 ","23356"
"Little Apple Technologies","140055 ","23342"
"Fastlink Communications, LLC","340094 ","23310"
"GIGGLE FIBER,LLC","320045 ","23089"
"Killians Electronics LLC","350060 ","22983"
"ECFiber","440199 ","22926"
"Lake Region Technology & Communications, LLC","290061 ","22909"
"Tallahatchie Valley Internet Services","420124 ","22872"
"Mojo Broadband","410054 ","22872"
"Farmers Telecommunications Cooperative, Inc.","260000 ","22845"
"New Source Broadband","310053 ","22805"
"Grand Mound Communications","130559 ","22600"
"DNA Communications","460025 ","22550"
"Mid Century Telephone Cooperative, Inc.","130819 ","22534"
"Loveland Pulse","420021 ","22430"
"DeKalb Telephone Cooperative, Inc.","130396 ","22420"
"Norvado","130239 ","22345"
"All West/Wyoming Inc.","130037 ","22290"
