Provider Name,Affiliation,Operation Type,FRN,Provider ID
Affinity Technology Solutions LLC,Affinity Technology Solutions LLC,Non-ILEC,0026634311,370008
"AGA Voice, Inc.","AGA Voice, Inc.",Non-ILEC,0031971443,460506
"Agate Mutual Telephone Cooperative Association, Inc.",Agate Mutual Telephone Cooperative Association,ILEC,0004311627,130017
Agile Networks,Cincinnati Bell Inc.,Non-ILEC,0020449831,130254
"AGPRO WIRELESS, LLC","AgPro Wireless, LLC",Non-ILEC,0021505896,250007
"Ahoy Telecom, LLC","Ahoy Telecom, LLC",Non-ILEC,0024408585,360082
AiNET LLC,AiNET Corporation,Non-ILEC,0031945868,450170
"Air Advantage, LLC","Air Advantage, LLC",Non-ILEC,0016094708,130019
Air Link Rural Broadband,"Air Link Rural Broadband, LLC",Non-ILEC,0020854725,280004
AirBridge Broadband LLC,Air Bridge Broadband LLC,Non-ILEC,0026191858,390006
"Aircall.io, Inc.","Aircall.io, Inc.",Non-ILEC,0030154462,430002
AIRCELL INC,AIRCELL Inc.,Non-ILEC,0026812560,360115
"Aire Communications Group, Inc.","Aire Communications Group, Inc.",Non-ILEC,0026587089,370009
"AireCast, LLC",South Arkansas Telephone Co.,Non-ILEC,0023316797,131214
"Airespring, Inc.","Airespring, Inc.",Non-ILEC,0006875322,170011
"AirFi, Inc.","AirFi, Inc.",Non-ILEC,0025568932,410002
AirFiber,"AirFiber, Inc.",Non-ILEC,0021882212,290006
AIRFIBER WISP LLC,"AirFiber WISP, LLC",Non-ILEC,0025297086,330004
"AirFiber, LLC","AirFiber, LLC",Non-ILEC,0030892285,440113
Airhawk Wireless LLC,Airhawk Wireless,Non-ILEC,0023645005,340002
"Airklic Technologies, LLC","Airklic Technologies, LLC",Non-ILEC,0031414949,470001
AirLink Internet Services,AirLink Internet Services,Non-ILEC,0020317855,460002
AiroComm,"AiroComm, LLC",Non-ILEC,0023347008,340003
"AiroNet, LLC","AiroNet, LLC",Non-ILEC,0025821117,350131
"Airosurf Communications, Inc.","Airosurf Communications, Inc.",Non-ILEC,0014860472,300008
AirRunner Networks LLC,AirRunner Networks LLC,Non-ILEC,0018497412,270009
"Airwave Networks, LLC","Airwave Networks, LLC",Non-ILEC,0029639267,410159
Airwave Technologies LLC,Airwave Technologies LLC,Non-ILEC,0031308844,440114
"AITelecom, LLC","AITelecom, LLC",Non-ILEC,0033331018,480005
"Akabis, LLC","Akabis, LLC",Non-ILEC,0026062265,250010
"Alabama Lightwave, Inc.","Alabama Ligthwave, Inc.",Non-ILEC,0028002285,440115
Alamo Broadband Inc,Alamo Broadband Inc.,Non-ILEC,0020896718,290007
"AlasConnect, LLC","Matanuska Telephone Association, Inc.",Non-ILEC,0004339982,130791
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.","ATN International, Inc.",ILEC,0004991444,130081
Alaska Telephone Company,"Alaska Power & Telephone, Inc.",ILEC,0001584960,130029
"AlaWeb, Inc","AlaWeb, Inc.",Non-ILEC,0009405531,130030
Albany Mutual Telephone Association,Albany Mutual Telephone Association,ILEC,0002645778,130031
"Albany, Water, Gas and Light Commission","City of Albany, Georgia",Non-ILEC,0004579496,190020
Albion Telephone Company dba ATC Communications,"Albion Telephone Company, Inc.",ILEC,0003714805,130032
"Alenco Communications, Inc","Alenco Communications, Inc.",ILEC,0004273850,130034
ALE-NET INC,ALE-NET Inc.,Non-ILEC,0030924070,430186
Alexs PC Solutions,"Alex's PC Solutions, LLC",Non-ILEC,0026884080,380008
Algona Municipal Utilities,Algona Municipal Utilities,Non-ILEC,0005671128,130035
Alhambra-Grantfork Telephone Company,"Alhambra-Grantfork Communications, Inc.",ILEC,0003764735,130036
"Alianza, Inc.","Alianza, Inc.",Non-ILEC,0013937586,220004
AlignTec Incorporated,AlignTec Inc.,Non-ILEC,0023299233,290008
Aline Phone Systems,"Aline Phone Systems, LLC",Non-ILEC,0029006558,460507
"All Tel Networks, LLC","All Tel Networks, LLC",Non-ILEC,0022432934,380009
"All West Communications, Inc.","All West Communications, Inc.",ILEC,0004924809,130037
"All West/Utah, Inc.","All West Communications, Inc.",Non-ILEC,0003777448,130037
"All West/Wyoming, Inc.","All West Communications, Inc.",Non-ILEC,0008293649,130037
"All-Access Infotech, LLC","All-Access Infotech, LLC",Non-ILEC,0030297899,450011
Allamakee-Clayton Electric Cooperative Inc,Allamakee-Clayton Electric Cooperative Inc.,Non-ILEC,0002598779,340004
Allband Communications Cooperative,Allband Communications Cooperative,ILEC,0015034358,160103
Allbridge LLC,"Allbridge, LLC",Non-ILEC,0026094326,380036
AllComm LLC,AllComm LLC,Non-ILEC,0029603271,470002
"Allegiant Networks, LLC","Crexendo, Inc.",Non-ILEC,0030698526,250032
"Allen's TV Cable Service, Inc.","Allen's TV Cable Service, Inc.",Non-ILEC,0003746898,130039
"Alliance Communications Cooperative, Inc.","Alliance Communications Cooperative, Inc.",ILEC,0002432672,130040
"Allied Telecom Group, LLC","Allied Telecom Group, LLC",Non-ILEC,0014531073,220005
"ALL-MODE COMMUNICATIONS, INC.","All-Mode Communications, Inc.",Non-ILEC,0010508232,470003
Allo Communications LLC,Allo Communications LLC,Non-ILEC,0010480978,190504
"Allpoint NetworX, Inc.","Alhambra-Grantfork Communications, Inc.",Non-ILEC,0028261543,130036
"Allstream Business US, LLC","Zayo Group, LLC",Non-ILEC,0004257010,130982
Alma Communications Company,Alma Communications Company,ILEC,0007196207,130043
"Alma Telephone Company, Inc.","Alma Telecom, Inc.",ILEC,0004334934,130044
Alpha Technologies Inc,Alpha Technologies Inc.,Non-ILEC,0025488180,410133
"Alpine Communications, L.C.","Alpine Communications, LLC",ILEC,0003732633,130045
ALT Telecom Solutions Inc,ALT Telecom Solutions Inc,Non-ILEC,0033148024,470004
Alta Municipal Utilities,Alta Municipal Utilities,Non-ILEC,0005093018,130046
Altamaha Electric Membership Corp.,Altamaha Electric Corporation,Non-ILEC,0001859339,460645
AltaWorx LLC,AltaWorx LLC,Non-ILEC,0021942776,320006
Alternate Network Technologies Inc.,Alternate Network Technologies Inc.,Non-ILEC,0027404383,380010
"Alternative Choice Wireless, LLC","Alternative Choice Wireless, LLC",Non-ILEC,0022049159,410005
"Alternative Techs Cooperative, Inc.","Alternative Techs Cooperative, Inc.",Non-ILEC,0020759502,260001
Alteva of Warwick LLC,Court Square Capital Partners,ILEC,0022150361,130795
"ALTIGEN COMMUNICATIONS, INC.","Altigen Communications, Inc.",Non-ILEC,0013604376,470005
Altitude ISP,"Altitude ISP, LLC",Non-ILEC,0030683908,450012
ALTIUS Communications LLC,ALTIUS Communications LLC,Non-ILEC,0016873374,290009
"Alvarez Technology Group, Inc.","Alvarez Technology Group, Inc.",Non-ILEC,0015321730,210008
"Alyrica Networks, Inc.","Alyrica Networks, Inc.",Non-ILEC,0009633983,270011
AM Exclusive Business Machines Inc,"AM Exclusive Business Machines, Inc.",Non-ILEC,0027648443,400062
"AMA Communications, L.L.C.","Dialog Telecom, LLC",Non-ILEC,0008064941,440203
America Internet & Communications,America Internet & Communications,Non-ILEC,0018483222,190025
"AmeriCALL Communications Company, Inc.","AmeriCALL Communications Company, Inc.",Non-ILEC,0025460890,470006
American Fiber Inc.,"Manti Telephone Company, Inc.",Non-ILEC,0032358327,130778
American Samoa Telecommunications Authority,American Samoa Telecommunications Authority,ILEC,0025719360,350009
American Telephone Company LLC,"Windstream Holdings, Inc.",Non-ILEC,0028311876,131413
Americell PA3 Limited Partnership,Americell PA3 Limited Partnership,Non-ILEC,0006013759,240047
ameritel communications corp,Ameritel Communications Corp.,Non-ILEC,0024411399,390007
Amery Telcom Inc,"Amery Telcom, Inc.",ILEC,0002723773,130057
"AMG Technology Investment Group, LLC",AMG Technology Investment Group LLC,Non-ILEC,0021701891,290010
Amherst Telephone Company,Amherst Telephone Company,ILEC,0002723732,130058
AMP Networks LLC,AMP Networks LLC,Non-ILEC,0015343379,190027
"Amplex Electric, Inc.","Amplex Electric, Inc.",Non-ILEC,0016098931,130059
"Amvensys Capital Group, LLC","Limelight Capital, LLC",Non-ILEC,0020383865,380011
"Anatomy IT, LLC","Anatomy IT, LLC",Non-ILEC,0033478470,480006
Ancero LLC,"Ancero, LLC",Non-ILEC,0021035183,450013
"Andrena, Inc.","Andrena, Inc.",Non-ILEC,0027343177,380012
"Andrew Telephone Company, Inc.",La Motte Telephone Company,ILEC,0002587491,130709
Angeles Enterprises,Angeles Enterprises,Non-ILEC,0028160588,430185
"ANPI Business, LLC","Sinch US Holding, Inc.",Non-ILEC,0020320347,310026
"Antares Technology Solutions Holdco, Inc","Antares Technology Solutions Holdco, Inc",Non-ILEC,0033005620,470093
"Antelecom, inc.","Antelecom, Inc.",Non-ILEC,0016088924,130062
Anterior Communications,Anterior Communications LLC,Non-ILEC,0026388652,370011
"Anteris Solutions, Inc.","Anteris Solutions, Inc.",Non-ILEC,0026174094,430104
"Anthem Broadband of Nevada, LLC","Anthem Broadband of Nevada, LLC",Non-ILEC,0031476815,460004
Anthem Technology LLC,"Anthem Technology, LLC",Non-ILEC,0030368393,480007
"Antietam Cable Television, LLC dba Antietam Broadband","Schurz Communications, Inc.",Non-ILEC,0002154367,131167
"ANTS-Technology, Inc.","ANTS-Technology, Inc.",Non-ILEC,0024084238,330006
"Anucom, Inc.","Anucom, Inc.",Non-ILEC,0031440175,470094
"Anvil Communications, Inc.","Anvil Communications, Inc.",Non-ILEC,0023931041,300010
"Anza Electric Cooperative, Inc.","Anza Electric Cooperative, Inc.",Non-ILEC,0007170475,380013
"AP&T Wireless, Inc.","Alaska Power & Telephone, Inc.",Non-ILEC,0003800117,130029
AplusVoIP,"AplusVoIP, LLC",Non-ILEC,0023928047,430105
"Appalachian Broadband Technologies, LLC",Georgia Communications Corporation,Non-ILEC,0023121890,390163
"APPLIED COMMUNICATIONS TECHNOLOGY, INC",Arapahoe Telephone Company,Non-ILEC,0006764575,130065
Applied Connective Technologies,Applied Connective Technologies,Non-ILEC,0025174202,410006
"Applied Messaging, Inc.","Applied Messaging, Inc.",Non-ILEC,0021383567,310007
Applied Technology Group Inc,"Applied Technology Group, Inc.",Non-ILEC,0001651009,390008
Aptitude Internet LLC,Aptitude Internet LLC,Non-ILEC,0021134119,320007
"APX Net, Inc","APX Net, Inc.",Non-ILEC,0021737515,320008
AR Consulting Inc,"A/R Consulting, Inc.",Non-ILEC,0028725901,460502
Arapahoe Telephone Company,Arapahoe Telephone Company,ILEC,0004329314,130065
Arbeit Software LLC,Arbeit Software LLC,Non-ILEC,0023281736,410007
"Arbuckle Communications, LLC","Arbuckle Communications, LLC",Non-ILEC,0004551347,250014
"Arctic Slope Telephone Association Cooperative, Inc.","Arctic Slope Telephone Association Cooperative, Inc.",ILEC,0001570936,130067
Ardmore Telephone Company Inc,"Synergy Technology Partners, inc.",ILEC,0001772888,130068
"Arena One, LLC",BCM One Holding,Non-ILEC,0012744975,190408
"Aristotle Unified Communications, LLC","Aristotle Unified Communications, LLC",Non-ILEC,0024056673,270012
Arizona Network LLC,Arizona Network LLC,Non-ILEC,0031314230,440116
"Arkansas Rural Internet Services, LLC",Ouachita Electric Cooperative/South Arkansas Telephone Company,Non-ILEC,0030233928,440163
"Arkansas Telephone Co., Inc.","Arkansas Telephone Company, Inc.",ILEC,0003732302,130069
"Arkwest Communications, Inc.","Spectracomm, Inc.",ILEC,0003778594,130070
"Armstrong Telecommunications, Inc.","Armstrong Holdings, Inc.",Non-ILEC,0006796643,130071
Armstrong Telephone Company - Northern Division,"Armstrong Holdings, Inc.",ILEC,0004311528,130071
Armstrong Telephone Company-MD,"Armstrong Holdings, Inc.",ILEC,0004379707,130071
Armstrong Telephone Company-North,"Armstrong Holdings, Inc.",ILEC,0004379749,130071
Armstrong Telephone Company-NY,"Armstrong Holdings, Inc.",ILEC,0004379715,130071
Armstrong Telephone Company-PA,"Armstrong Holdings, Inc.",ILEC,0004379723,130071
Armstrong Telephone Company-WV,"Armstrong Holdings, Inc.",ILEC,0004379731,130071
"Armstrong Utilities, Inc.","Armstrong Holdings, Inc.",Non-ILEC,0003765617,130071
Aroostook Technologies Inc.,Aroostook Technologies Inc.,Non-ILEC,0021300181,340091
Arrowhead Communications Corporation,"Arvig Enterprises, Inc.",ILEC,0003744570,130074
"Arrowhead Electric Cooperative, Inc.","Arrowhead Electric Cooperative, Inc.",Non-ILEC,0007083470,310094
ARTHUR MUTUAL TELEPHONE COMPANY,Arthur Mutual Telephone Company,ILEC,0004329330,130073
"Artilus, Inc.  dba L.I. Computer Networks, Inc","Artilus, Inc",Non-ILEC,0027250562,470007
"Arx Technologies, LLC","Arx Technologies, LLC",Non-ILEC,0025381195,350011
Ascension Technologies,"Ascension Technologies, LLC",Non-ILEC,0027114594,400063
"Ascent Broadband, LLC","Ascent Broadband, LLC",Non-ILEC,0027876390,380014
"Ascent Gigabit, LLC","Ascent Gigabit, LLC",Non-ILEC,0033807645,470126
Ashby Communications Inc.,Ashby Communications Inc.,Non-ILEC,0019640010,470144
"Aspire Networks 1, LLC","Aspire Networks 1, LLC",Non-ILEC,0030311567,460005
"Asset Black, LLC","Asset Black, LLC",Non-ILEC,0022135057,320010
"AST Telecom, LLC d/b/a Bluesky","American Samoa Telecom, LLC",Non-ILEC,0007435902,170012
AT&T Corp.,AT&T Inc.,Non-ILEC,0005937974,130077
ATC BROADBAND LLC,"Alma Telecom, Inc.",Non-ILEC,0013906821,130044
ATG Group Inc,ATG Group Inc.,Non-ILEC,0022989255,170006
Atherton Fiber LLC,Atherton Fiber LLC,Non-ILEC,0030641484,430005
Atkins Telephone Company,Atkins Telephone Company,ILEC,0004056248,170014
"Atlantech Online, Inc.","Atlantech Online, Inc.",Non-ILEC,0018854935,190508
"Atlantic Telecom Multimedia Consolidated, LLC",Atlantic Telephone Membership Corporation,Non-ILEC,0020680591,130082
Atlantic Telephone Membership Corporation,Atlantic Telephone Membership Corporation,ILEC,0001951144,130082
Atlas Broadband,Dominion Communications LLC,Non-ILEC,0021279641,380157
Atlas Telephone Company,"Atlas Telephone Company, Inc.",ILEC,0004365276,130083
Atom Broadband,Atom Broadband,Non-ILEC,0027710599,480008
"Atron Solutions, LLC","Atron Solutions, LLC",Non-ILEC,0030499453,430006
"ATV Holdings, LLC","ATV Holdings, LLC",Non-ILEC,0025633058,350012
"Atwood Cable Systems, Inc.","Atwood Cable Systems, Inc.",Non-ILEC,0003789765,130084
Auburn Essential Services,City of Auburn,Non-ILEC,0005920509,180010
AUDEAMUS,Sebastian Enterprises,Non-ILEC,0018735928,131173
"Audian, Inc.","Audian, Inc.",Non-ILEC,0026093567,350013
"Aureon Communications, L.L.C.",Aureon Network Services Inc.,Non-ILEC,0020655486,280005
"Aurora Communications Technology, Inc.","Aurora Communications Technology, Inc.",Non-ILEC,0030246433,440008
"Automated Business Machines, Inc.","Automated Business Machines, Inc.",Non-ILEC,0027637255,430008
"Automated Network Solutions, Inc","Automated Network Solutions, Inc.",Non-ILEC,0029837549,440009
"Autus Technology, LLC","Autus Technology, LLC",Non-ILEC,0021875026,290012
AV Wireless Inc.,AV Wireless Inc.,Non-ILEC,0026511618,350134
Avatel Technologies Inc,"Avatel Technologies, Inc.",Non-ILEC,0023563232,460510
"Avative, LLC","Avative, LLC",Non-ILEC,0032718389,460006
Avaya Cloud Inc.,Avaya Cloud Inc.,Non-ILEC,0021575345,270013
"Avista Edge, Inc.","Avista Capital, Inc.",Non-ILEC,0033466392,470008
"AVOXI, Inc.",AVOXI Holdco LLC,Non-ILEC,0006794010,190127
"Awareness Systems, LLC","Awareness Systems, LLC",Non-ILEC,0026584813,390010
Axcede LLC,Axcede LLC,Non-ILEC,0023364268,290013
"Axia Technology Partners, LLC","AxiaTP Holdings, LLC",Non-ILEC,0019980697,390158
Axiom Technologies,Axiom Technologies,Non-ILEC,0018714071,140012
Axxess Networks LLC,"Axxess Networks, LLC",Non-ILEC,0026155697,440010
"Ayera Technologies, Inc.","Ayera Technologies, Inc.",Non-ILEC,0021431440,380158
Ayersville Telephone Company,Ayersville Telephone Company,ILEC,0004328654,130087
Ayrshire Farmers Mutual Telephone Company,Northwest Communications Cooperative Association,ILEC,0003722949,130953
Ayva,Ayva Limited,Non-ILEC,0031660798,450015
Aztec Sound and Communications Inc,"Aztec Sound and Communications, Inc.",Non-ILEC,0029643574,430009
Azure Standard,Azure Standard,Non-ILEC,0022630651,370012
"B&B Communications, LTD","B&B Communications, Ltd.",Non-ILEC,0022651095,320013
"B&B Networks, Inc.","B&B Networks, Inc.",Non-ILEC,0028951788,420006
"B2 Solutions, Inc","B2 Solutions, Inc.",Non-ILEC,0023435936,410010
Babcock Enterprises LLC,Babcock Enterprises LLC,Non-ILEC,0021843503,370013
"Baca Valley Telephone Company, Inc.","Baca Valley Telephone Company, Inc.",ILEC,0004320297,130090
Back 2 Roots LLC,"Back 2 Roots, LLC",Non-ILEC,0033254913,480009
Back 40 Wireless,Back 40 Wireless LLC,Non-ILEC,0024207920,310010
Backcountry Broadband,Backcountry Broadband,Non-ILEC,0030224232,460007
Backroads Broadband,Backroads Broadband,Non-ILEC,0032725012,320014
Bagley Public Utilities,City of Bagley,Non-ILEC,0019219088,300015
BAIConnect,"Broadband MDU Holdings, LLC",Non-ILEC,0018282137,460014
"Balatize Broadband Services, LLC","Balatize Broadband Services, LLC",Non-ILEC,0023098668,290127
"Baldwin Broadband, LLC","Baldwin Telecom, Inc.",Non-ILEC,0016066870,130093
"Baldwin Nashville Telephone Company, Inc.","Baldwin Nashville Telephone Company, Inc.",ILEC,0002589281,130092
Baldwin Telecom Inc,"Baldwin Telecom, Inc.",ILEC,0002723534,130093
"Ballard Rural Telephone Cooperative Corporation, Inc.","Ballard Rural Telephone Cooperative Corporation, Inc.",ILEC,0004933032,130094
"BalsamWest FiberNET, LLC","BalsamWest FiberNET, LLC",Non-ILEC,0011291671,240006
BAM Broadband OpCo LLC,BAM Broadband OpCo LLC,Non-ILEC,0032486052,460511
BancCentral Financial Services,BancCentral Financial Services Corp.,Non-ILEC,0018548107,280009
"Bandera Electric Cooperative, Inc.","Bandera Electric Cooperative, Inc.",Non-ILEC,0026644666,360006
Bandwidth Inc.,Bandwidth Inc.,Non-ILEC,0015443773,190040
Banke IT Consulting LLC,Banke IT Consulting LLC,Non-ILEC,0031764038,460512
Baraga Telephone Company,Baraga Telephone Company Inc.,ILEC,0004156139,130095
Baraga Telephone Company Inc.,Baraga Telephone Company Inc.,Non-ILEC,0024157745,130095
Barbourville Utility Commission,Barbourville Utility Commission,Non-ILEC,0018932350,190429
Barc Electric Cooperative,BARC Electric Cooperative,Non-ILEC,0002073427,380016
"Barden Technology, LLC","Barden Technology, LLC",Non-ILEC,0022546543,320015
Bare Necessities LLC,Bare Necessities LLC,Non-ILEC,0024974438,410003
Bare Telecom LLC,Bare Telecom LLC,Non-ILEC,0029819646,450141
Barger Creek LLC,Barger Creek LLC,Non-ILEC,0028544229,390142
BARNARDSVILLE TELEPHONE CO.,Wilkes Telephone Membership Corporation,ILEC,0024813461,131486
Barnes City Cooperative Telephone Company,Barnes City Cooperative Telephone Company,ILEC,0003745825,130096
"Barr Tell Usa, Inc.","Barr Tell USA, Inc.",Non-ILEC,0012167557,340010
"Barry Communications, Inc.","Barry Communications, Inc.",Non-ILEC,0019941988,230002
Barry County Telephone Company,Barry County Services Company,ILEC,0002771228,130097
Barry Electric Cooperative,Barry Electric Cooperative,Non-ILEC,0002506384,360007
Bartnet IP LLC,Bartnet IP LLC,Non-ILEC,0023829542,470009
"Bascom Advanced Services, Inc. dba Bascom Long Distance",Bascom Mutual Telephone Company,Non-ILEC,0004319703,130098
